"id","age_range","status","main_pressure","cost_increased","cut_back_on","work_worry_rating","income_keeps_up_rating","transport_cost","food_cost","comment"
19,"22-25","Student","Rent","No","[""Eating out"",""Clothing"",""Social life""]",3,3,"R301-R600","R1001-R2000","Work uncertainty makes it difficult to plan ahead financially."
20,"26-30","Studying and working","Food","Yes","[""Meat""]",4,2,"R0-R300","R3000+","I have cut back on eating out and subscriptions to manage expenses."
21,"26-30","Student","Transport","Yes","[""Transport"",""Data""]",5,1,"R1001-R1500","R2001-R3000","Transport costs affect how often I can attend activities away from home."
22,"18-21","Student","Data","Yes","[""Data"",""Eating out"",""Meat""]",2,4,"R0-R300","R501-R1000",
23,"26-30","Employed","Debt","Yes","[""Eating out""]",3,3,"R1001-R1500","R1001-R2000","Food prices and transport costs make it harder to keep a steady monthly budget."
24,"22-25","Student","Rent","Not sure","[""Eating out"",""Transport""]",4,2,"R301-R600","R1001-R2000","I mostly reduce social spending when prices go up."
25,"26-30","Studying and working","Food","No","[""Meat"",""Subscriptions"",""Clothing""]",5,1,"R0-R300","R3000+","Data, food, and transport are the costs I notice most during the month."
26,"22-25","Employed","Food","Yes","[""Meat""]",2,1,"R301-R600","R501-R1000","Income has not really kept up with daily expenses."
27,"18-21","Student","Data","Yes","[""Data"",""Social life""]",3,3,"R0-R300","R501-R1000","I try to buy cheaper groceries and travel less when possible."
28,"22-25","Studying and working","Data","Yes","[""Data"",""Eating out"",""Meat""]",4,2,"R1001-R1500","R1001-R2000","Rent and electricity leave less money for food and study needs."
29,"18-21","Unemployed","Rent","Yes","[""Eating out""]",5,1,"R1500+","R2001-R3000","Work uncertainty makes it difficult to plan ahead financially."
30,"22-25","Student","Food","Not sure","[""Meat"",""Transport""]",2,2,"R601-R1000","R1001-R2000","I have cut back on eating out and subscriptions to manage expenses."
31,"26-30","Employed","Food","No","[""Meat"",""Transport"",""Subscriptions""]",3,1,"R301-R600","R501-R1000","Transport costs affect how often I can attend activities away from home."
32,"18-21","Student","Data","Yes","[""Data""]",4,2,"R0-R300","R501-R1000",
33,"22-25","Studying and working","Data","Yes","[""Data"",""Clothing""]",5,1,"R1001-R1500","R1001-R2000","Food prices and transport costs make it harder to keep a steady monthly budget."
34,"22-25","Employed","Electricity","Yes","[""Eating out"",""Social life"",""Data""]",2,3,"R1500+","R2001-R3000","I mostly reduce social spending when prices go up."
35,"22-25","Student","Food","Yes","[""Meat""]",3,2,"R601-R1000","R1001-R2000","Data, food, and transport are the costs I notice most during the month."
36,"31+","Studying and working","Transport","Not sure","[""Transport"",""Eating out""]",4,1,"R301-R600","R501-R1000","Income has not really kept up with daily expenses."
37,"18-21","Unemployed","Data","No","[""Data"",""Meat"",""Transport""]",5,1,"R601-R1000","R1001-R2000","I try to buy cheaper groceries and travel less when possible."
38,"18-21","Student","Tuition","Yes","[""Eating out""]",2,4,"R301-R600","R501-R1000","Rent and electricity leave less money for food and study needs."
39,"22-25","Studying and working","Debt","Yes","[""Eating out"",""Subscriptions""]",3,3,"R1500+","R2001-R3000","Work uncertainty makes it difficult to plan ahead financially."
40,"22-25","Student","Food","Yes","[""Meat"",""Clothing"",""Social life""]",4,2,"R601-R1000","R1001-R2000","I have cut back on eating out and subscriptions to manage expenses."
41,"26-30","Student","Transport","Yes","[""Transport""]",5,1,"R1001-R1500","R2001-R3000","Transport costs affect how often I can attend activities away from home."
